model,accuracy,precision,recall_sensitivity,specificity,f1_score,auc,training_time_sec,inference_time_sec
distilbert,0.9758713136729222,0.942528735632184,0.9534883720930232,0.9825783972125436,0.9479768786127168,0.9908840450530751,146.12678599357605,3.0756521224975586
bert,0.970509383378016,0.9518072289156626,0.9186046511627908,0.9860627177700348,0.9349112426035504,0.994773519163763,290.1427085399628,6.180487155914307
roberta,0.96514745308311,0.9101123595505618,0.9418604651162792,0.9721254355400696,0.9257142857142856,0.9935985738594928,303.90966987609863,6.034327745437622
albert,0.903485254691689,0.8787878787878788,0.6744186046511628,0.9721254355400696,0.7631578947368421,0.9314885341544444,286.15089869499207,6.7809672355651855
deberta,0.7694369973190348,0.0,0.0,1.0,0.0,0.5,79.23738932609558,1.4886624813079834
