fold,accuracy,precision,recall,f1,auc,training_time_sec
1,0.9517102615694165,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9723558242865649,234.63465118408203
2,0.9616935483870968,0.9122807017543859,0.9203539823008849,0.9162995594713657,0.9850504863790752,314.733407497406
3,0.9616935483870968,0.9196428571428571,0.911504424778761,0.9155555555555556,0.9843342036553525,287.36657190322876
4,0.967741935483871,0.9375,0.9210526315789473,0.9292035398230089,0.9888399007991182,271.83112835884094
5,0.9516129032258065,0.875,0.9210526315789473,0.8974358974358975,0.9838454119592174,295.3270242214203
